"co2","sdensity"
305,109
287,117
292,105
296,95
301,94
305,106
306,108
321,97
327,92
266,141
260,118
256,123
244,122
309,63
301,93
294,107
206.400,183
277,99
268,104
267,120
247,130
298,120
305,132
304,118
304,94
293,87
315,58
285,124
287,111
